"ServiceName","DisplayName","StartName","StartMode","State","PathName","ExePathRaw","ArgsRaw","ParseMethod","Confidence","IsQuoted","IsMalformed","HasSpaces","FindingCount","FindingsSummary","FindingsJson","RiskScore","RiskLevel"
"WerSvc","Windows Error Reporting Service","localSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k WerSvcGroup","C:\Windows\System32\svchost.exe","-k WerSvcGroup","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WiaRpc","Still Image Acquisition Events","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WinDefend","Microsoft Defender Antivirus Service","LocalSystem","Auto","Running","""C:\Program Files\Windows Defender\MsMpEng.exe""","C:\Program Files\Windows Defender\MsMpEng.exe","","Quoted","High","True","False","True","0","","[]","0","None"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","NT AUTHORITY\LocalService","Manual","Running","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"Winmgmt","Windows Management Instrumentation","localSystem","Auto","Running","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WinRM","Windows Remote Management (WS-Management)","NT AUTHORITY\NetworkService","Manual","Stopped","C:\Windows\System32\svchost.exe -k NetworkService -p","C:\Windows\System32\svchost.exe","-k NetworkService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"wisvc","Windows Insider Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WlanSvc","WLAN AutoConfig","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"wlidsvc","Microsoft Account Sign-in Assistant","LocalSystem","Manual","Running","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"wlpasvc","Local Profile Assistant Service","NT Authority\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WManSvc","Windows Management Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"wmiApSrv","WMI Performance Adapter","localSystem","Manual","Stopped","C:\Windows\system32\wbem\WmiApSrv.exe","C:\Windows\system32\wbem\WmiApSrv.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","NT AUTHORITY\NetworkService","Manual","Stopped","""C:\Program Files\Windows Media Player\wmpnetwk.exe""","C:\Program Files\Windows Media Player\wmpnetwk.exe","","Quoted","High","True","False","True","0","","[]","0","None"
"workfolderssvc","Work Folders","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\System32\svchost.exe -k LocalService -p","C:\Windows\System32\svchost.exe","-k LocalService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WpcMonSvc","Parental Controls","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalService","C:\Windows\system32\svchost.exe","-k LocalService","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WPDBusEnum","Portable Device Enumerator Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted","UnquotedExt","High","False","False","False","0","","[]","0","None"
